Name,B2,B6,B7,B9,B10,B11,B14,B15,BRBR
MH0150_GL0126373,1,1,1,0,1,0,1,0,1
O2.UC19-1_GL0066097,1,1,1,0,1,0,1,0,1
T2D-10A_GL0028958,1,1,1,0,1,0,1,0,1
483215.BACFIN_08570,1,1,1,0,1,0,0,0,1
MH0014_GL0025905,1,1,1,1,1,1,1,1,1
MH0010_GL0001485,1,1,1,0,1,0,0,0,0
MH0341_GL0028604,1,1,1,1,1,0,1,0,0
MH0002_GL0068333,1,1,1,1,0,0,1,0,1
411901.BACCAC_00028,1,1,1,0,1,0,1,0,1
O2.UC24-2_GL0084816,1,0,0,0,1,0,0,1,1
MH0012_GL0059413,1,1,1,0,1,0,1,0,1
MH0270_GL0048721,1,1,1,1,1,0,1,0,1
N103A_GL0059910,1,1,1,1,1,0,0,0,1
MH0188_GL0058943,1,1,1,1,1,0,1,0,1
716541.ECL_00237,1,1,1,1,1,1,1,1,1
T2D-198A_GL0045872,1,1,1,0,0,0,0,0,0
MH0156_GL0039033,1,1,1,0,1,0,1,0,1
MH0267_GL0117850,1,1,1,1,0,0,0,0,1
V1.UC59-0_GL0029467,1,0,1,1,0,0,1,0,1
O2.UC18-0_GL0003669,1,1,1,1,0,0,0,0,1
MH0002_GL0020592,1,1,1,1,0,0,1,0,1
MH0435_GL0136625,1,1,1,0,1,0,0,0,1
T2D-173A_GL0024712,1,1,1,0,1,0,1,0,0
550672.ECCG_00299,1,1,1,1,1,1,1,1,1
O2.UC50-0_GL0319774,1,1,1,1,1,0,0,0,1
O2.UC30-1_GL0100925,1,1,1,0,1,0,0,0,1
MH0067_GL0022153,1,1,1,0,1,0,0,0,1
MH0168_GL0055760,1,1,1,1,1,0,1,0,1
DOM005_GL0002164,1,1,1,0,1,0,1,0,1
MH0003_GL0110880,1,1,1,0,1,0,0,0,0
V1.UC51-0_GL0113682,1,1,1,1,1,0,0,0,1
MH0150_GL0077036,1,0,0,0,0,0,0,0,0
MH0002_GL0041460,1,1,1,1,0,0,1,0,1
V1.UC27-0_GL0075528,1,0,0,0,0,0,0,0,1
T2D-155A_GL0023781,1,1,1,1,1,0,0,0,1
MH0238_GL0033801,1,0,0,0,1,0,0,0,0
V1.FI28_GL0009001,1,1,1,0,0,0,0,0,0
BGI001A_GL0017652,1,1,1,0,1,0,0,0,1
MH0203_GL0189495,1,0,1,1,1,0,0,0,1
MH0179_GL0072360,1,0,1,1,1,0,0,0,0
O2.UC44-0_GL0070938,1,0,1,1,1,0,1,0,0
V1.CD44-0_GL0067225,1,1,1,0,1,0,0,0,0
MH0239_GL0059511,1,1,1,0,0,0,0,0,0
MH0187_GL0103371,1,0,1,1,1,0,0,0,0
MH0131_GL0005504,1,0,0,0,0,0,0,0,0
MH0332_GL0070795,1,0,1,0,1,0,0,0,0
MH0341_GL0044874,1,1,1,1,1,0,1,0,1
