Name;B2;B6;B7;B9;B10;B11;B14;B15;BRBR
1;1;1;1;0;1;0;1;0;1
2;1;1;1;0;1;0;1;0;1
3;1;1;1;0;1;0;1;0;1
4;1;1;1;0;1;0;0;0;1
5;1;1;1;1;1;1;1;1;1
6;1;1;1;0;1;0;0;0;0
7;1;1;1;1;1;0;1;0;0
8;1;1;1;1;0;0;1;0;1
9;1;1;1;0;1;0;1;0;1
10;1;0;0;0;1;0;0;1;1
11;1;1;1;0;1;0;1;0;1
12;1;1;1;1;1;0;1;0;1
13;1;1;1;1;1;0;0;0;1
14;1;1;1;1;1;0;1;0;1
15;1;1;1;1;1;1;1;1;1
16;1;1;1;0;0;0;0;0;0
17;1;1;1;0;1;0;1;0;1
18;1;1;1;1;0;0;0;0;1
19;1;0;1;1;0;0;1;0;1
20;1;1;1;1;0;0;0;0;1
21;1;1;1;1;0;0;1;0;1
22;1;1;1;0;1;0;0;0;1
23;1;1;1;0;1;0;1;0;0
24;1;1;1;1;1;1;1;1;1
25;1;1;1;1;1;0;0;0;1
26;1;1;1;0;1;0;0;0;1
27;1;1;1;0;1;0;0;0;1
28;1;1;1;1;1;0;1;0;1
29;1;1;1;0;1;0;1;0;1
30;1;1;1;0;1;0;0;0;0
31;1;1;1;1;1;0;0;0;1
32;1;0;0;0;0;0;0;0;0
33;1;1;1;1;0;0;1;0;1
34;1;0;0;0;0;0;0;0;1
35;1;1;1;1;1;0;0;0;1
36;1;0;0;0;1;0;0;0;0
37;1;1;1;0;0;0;0;0;0
38;1;1;1;0;1;0;0;0;1
39;1;0;1;1;1;0;0;0;1
40;1;0;1;1;1;0;0;0;0
41;1;0;1;1;1;0;1;0;0
42;1;1;1;0;1;0;0;0;0
43;1;1;1;0;0;0;0;0;0
44;1;0;1;1;1;0;0;0;0
45;1;0;0;0;0;0;0;0;0
46;1;0;1;0;1;0;0;0;0
47;1;1;1;1;1;0;1;0;1
48;1;1;0;0;0;0;0;0;0
49;1;0;0;1;1;0;1;0;0
50;1;1;1;0;1;0;0;0;0
51;1;1;1;0;1;0;1;0;1
52;1;0;1;0;1;0;0;0;0
53;1;1;1;0;1;0;0;0;1
54;1;1;1;1;1;1;1;1;1
55;1;0;0;0;0;0;0;0;0
56;1;1;1;1;1;0;0;0;1
57;1;1;1;1;0;0;1;0;1
58;1;0;1;0;1;0;1;0;0
59;1;1;1;0;1;0;0;0;1
60;1;1;1;0;0;0;0;0;1
61;1;1;1;0;0;0;0;0;0
62;1;1;1;1;0;0;1;0;1
63;1;0;1;0;1;0;0;0;0
64;1;1;0;1;1;1;1;1;1
65;1;1;1;1;0;0;1;0;1
66;1;1;0;1;1;1;1;1;1
67;1;0;1;1;1;0;0;0;0
68;1;1;1;1;1;0;0;0;1
69;1;1;1;1;0;0;0;0;0
70;1;1;1;1;1;0;1;0;1
71;1;0;1;0;1;0;0;0;0
72;1;1;0;0;0;0;0;0;0
73;1;1;0;1;1;1;1;1;1
74;1;0;0;1;1;0;0;0;1
75;1;1;1;1;0;0;1;0;1
76;1;0;1;1;1;0;0;0;0
77;1;1;1;1;0;0;1;0;1
78;1;0;1;0;0;0;0;0;0
79;1;1;1;1;1;0;1;0;0
80;1;0;1;1;1;0;1;0;1
81;1;1;1;0;1;0;0;0;0
82;1;1;1;0;0;0;0;0;0
83;1;1;1;0;1;0;0;0;0
84;1;0;0;0;0;0;0;0;1
85;1;0;1;0;1;0;0;0;0
86;1;0;0;0;0;0;0;0;0
87;1;0;1;1;1;0;0;0;1
88;1;0;1;1;1;0;1;1;1
89;1;0;1;0;1;0;0;0;0
90;1;0;0;0;0;0;0;0;1
91;1;0;0;1;0;0;0;0;1
92;1;1;1;1;1;0;1;0;0
93;1;0;0;0;1;0;0;0;0
94;1;0;0;0;0;0;0;0;1
95;1;0;0;0;1;0;0;0;0
96;1;1;0;1;0;1;1;1;1
97;1;0;1;0;1;0;0;0;0
98;1;0;1;1;1;0;1;0;1
99;1;1;0;1;0;1;1;1;1
100;1;1;1;1;1;1;1;1;1
101;1;1;1;1;0;0;1;0;1
102;1;1;0;1;1;1;1;1;1
103;1;1;0;0;0;0;0;0;0
104;1;0;0;0;0;0;0;0;0
105;1;1;1;0;1;0;1;0;1
106;1;0;1;0;1;0;0;0;0
107;1;0;0;0;0;0;0;0;0
108;1;0;0;1;1;1;1;1;1
109;1;0;0;0;0;0;0;0;0
110;1;0;1;0;0;0;0;0;0
111;1;1;0;0;0;0;0;0;0
112;1;0;1;0;1;0;0;0;0
113;1;0;0;0;0;0;1;0;1
114;1;0;0;0;0;0;0;0;0
115;1;0;0;1;1;0;0;0;0
116;1;1;1;1;1;0;0;0;0
117;1;1;0;1;0;0;1;0;1
118;1;0;1;0;1;0;0;0;1
119;1;1;0;1;0;0;1;0;1
120;1;0;0;0;0;0;0;0;1
121;1;1;0;1;1;1;1;1;1
122;1;0;0;0;1;1;1;1;1
123;1;1;1;1;0;0;0;0;0
124;1;0;1;0;1;0;0;0;0
125;1;1;1;0;1;0;1;0;0
126;1;0;0;0;0;0;0;0;0
127;1;1;1;1;0;0;1;0;1
128;1;1;0;1;0;0;1;0;1
129;1;0;0;1;1;0;0;0;0
130;1;0;0;0;0;0;0;0;0
131;1;1;0;1;0;0;0;0;1
132;1;0;0;0;0;0;0;0;0
133;1;1;0;1;0;1;1;1;1
134;1;0;0;0;0;0;0;0;0
135;1;1;1;0;1;0;0;0;0
136;1;0;0;0;0;0;0;0;1
137;1;1;0;1;0;0;1;0;0
138;1;0;1;0;1;0;0;0;0
139;1;1;0;0;0;0;0;0;0
140;1;0;1;0;1;0;0;0;0
141;1;1;0;0;0;0;0;0;1
142;1;1;0;1;0;0;1;0;1
143;1;1;1;0;1;0;0;0;0
144;1;1;0;0;0;0;0;0;0
145;1;1;0;1;0;0;1;0;1
146;1;0;0;0;0;0;0;0;0
147;1;0;0;0;0;0;0;0;0
148;1;1;0;1;0;1;1;1;1
149;1;0;1;0;0;0;0;0;1
150;1;0;1;0;0;0;0;0;0
151;1;1;0;1;0;0;1;0;1
152;1;1;0;1;0;0;1;0;1
153;1;0;0;0;0;0;0;0;0
154;1;1;1;0;0;0;0;0;0
155;1;0;0;0;0;0;0;0;0
156;1;0;0;0;0;0;0;0;0
157;1;0;1;0;0;0;0;0;0
158;1;1;0;0;1;0;1;0;1
159;1;0;0;0;0;0;0;0;0
160;1;1;0;1;1;0;0;0;0
161;0;1;0;0;0;0;0;0;0
162;0;1;1;0;0;0;0;0;0
163;0;1;1;0;1;0;0;0;0
164;0;1;1;1;0;0;0;0;0
165;0;1;1;0;0;0;0;0;0
166;0;1;0;1;0;0;1;0;1
167;0;1;1;1;0;0;1;0;1
168;0;1;0;0;0;0;0;0;0
169;0;1;0;0;0;0;0;1;0
170;0;1;0;0;0;0;0;0;0
171;0;1;1;1;1;0;0;0;0
172;0;1;0;1;0;0;0;0;1
173;0;1;1;0;1;0;0;0;0
174;0;1;0;1;0;0;1;0;1
175;0;1;0;1;0;0;1;0;1
176;0;1;0;0;0;0;0;0;1
177;0;1;0;0;0;0;0;0;0
178;0;1;0;1;0;0;0;0;1
179;0;1;0;1;0;1;1;1;0
180;0;1;0;0;1;0;0;0;0
181;0;1;1;1;1;0;1;0;0
182;0;1;0;1;0;0;1;0;1
183;0;1;0;0;0;0;0;0;1
184;0;1;0;1;0;0;1;0;1
185;0;1;0;1;0;0;0;0;1
186;0;1;1;1;1;0;1;0;0
187;0;1;0;1;0;0;0;0;1
188;0;1;0;0;0;0;0;0;1
